Generating SQLite file analysis/profiles/nsys_legacy.sqlite from analysis/profiles/nsys_legacy.nsys-rep
Processing [analysis/profiles/nsys_legacy.sqlite] with [C:\Program Files\NVIDIA Corporation\Nsight Systems 2026.1.2\host-windows-x64\reports\cuda_gpu_kern_sum.py]... 
Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
32.6,3861609,30,128720.3,91471.0,75134,707574,132755.4,"void at::native::vectorized_elementwise_kernel<(int)2, at::native::BinaryFunctor<c10::complex<float>, c10::complex<float>, c10::complex<float>, at::native::binary_internal::MulFunctor<c10::complex<float>>>, std::array<char *, (unsigned long long)3>>(int, T2, T3)"
15.0,1780933,20,89046.6,88671.0,76862,109566,8169.0,"void at::native::vectorized_elementwise_kernel<(int)2, at::native::CUDAFunctor_add<c10::complex<float>>, std::array<char *, (unsigned long long)3>>(int, T2, T3)"
14.5,1715371,30,57179.0,49424.0,33952,249725,37519.3,"void regular_fft<(unsigned int)256, EPT<(unsigned int)16>, (unsigned int)8, (unsigned int)9, (padding_t)14, (twiddle_t)0, (loadstore_modifier_t)2, (layout_t)1, unsigned int, float, HostConfigPlaceholder>(kernel_arguments_t<T9>)"
6.0,706966,20,35348.3,33711.5,21088,62495,13682.3,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 9)]::operator ()() const::[lambda(c10::complex<float>) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
5.5,655636,20,32781.8,32591.5,20352,46368,8784.0,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 9)]::operator ()() const::[lambda(c10::complex<float>) (instance 1)], std::array<char *, (unsigned long long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
5.4,642355,30,21411.8,21423.0,18655,23776,1196.1,"void vector_fft<(unsigned int)256, EPT<(unsigned int)16>, (unsigned int)4, (unsigned int)6, (padding_t)70, (twiddle_t)0, (loadstore_modifier_t)2, (layout_t)0, unsigned int, float, HostConfigPlaceholder>(kernel_arguments_t<T9>)"
4.0,476441,10,47644.1,47455.5,44895,53600,2361.6,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl<at::native::BinaryFunctor<c10::complex<float>, c10::complex<float>, c10::complex<float>, at::native::binary_internal::DivFunctor<c10::complex<float>>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
3.7,440185,20,22009.3,21919.5,8576,35967,13315.3,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
3.5,409947,10,40994.7,39759.5,37088,46592,3238.1,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
3.2,376413,10,37641.3,37648.0,37248,37984,202.4,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<c10::complex<float>, at::native::MeanOps<c10::complex<float>, c10::complex<float>, float, c10::complex<float>>, unsigned int, c10::complex<float>, (int)4, (int)4>>(T3)"
